,Task Success Rate
0,0.20930232558139536
1,0.20930232558139536
2,0.20930232558139536
3,0.20930232558139536
4,0.20930232558139536
5,0.20930232558139536
6,0.20930232558139536
7,0.20930232558139536
8,0.20930232558139536
9,0.20930232558139536
10,0.20930232558139536
11,0.20930232558139536
12,0.20930232558139536
13,0.20930232558139536
14,0.20930232558139536
15,0.20930232558139536
16,0.20930232558139536
17,0.20930232558139536
18,0.20930232558139536
19,0.20930232558139536
20,0.20930232558139536
21,0.20930232558139536
22,0.20930232558139536
23,0.20930232558139536
24,0.20930232558139536
25,0.20930232558139536
26,0.20930232558139536
27,0.20930232558139536
28,0.20930232558139536
29,0.20930232558139536
30,0.20930232558139536
31,0.20930232558139536
32,0.20930232558139536
33,0.20930232558139536
34,0.20930232558139536
35,0.20930232558139536
36,0.20930232558139536
37,0.20930232558139536
38,0.20930232558139536
39,0.20930232558139536
40,0.20930232558139536
41,0.20930232558139536
42,0.20930232558139536
43,0.20930232558139536
44,0.20930232558139536
45,0.20930232558139536
46,0.20930232558139536
47,0.20930232558139536
48,0.20930232558139536
49,0.20930232558139536
50,0.20930232558139536
51,0.20930232558139536
52,0.20930232558139536
53,0.20930232558139536
54,0.20930232558139536
55,0.20930232558139536
56,0.20930232558139536
57,0.20930232558139536
58,0.20930232558139536
59,0.20930232558139536
60,0.20930232558139536
61,0.20930232558139536
62,0.20930232558139536
63,0.20930232558139536
64,0.20930232558139536
65,0.20930232558139536
66,0.20930232558139536
67,0.20930232558139536
68,0.20930232558139536
69,0.20930232558139536
70,0.20930232558139536
71,0.20930232558139536
72,0.20930232558139536
73,0.20930232558139536
74,0.20930232558139536
75,0.20930232558139536
76,0.20930232558139536
77,0.20930232558139536
78,0.20930232558139536
79,0.20930232558139536
80,0.20930232558139536
81,0.20930232558139536
82,0.20930232558139536
83,0.20930232558139536
84,0.20930232558139536
85,0.20930232558139536
86,0.20930232558139536
87,0.20930232558139536
88,0.20930232558139536
89,0.20930232558139536
90,0.20930232558139536
91,0.20930232558139536
92,0.20930232558139536
93,0.20930232558139536
94,0.20930232558139536
95,0.20930232558139536
96,0.20930232558139536
97,0.20930232558139536
98,0.20930232558139536
99,0.20930232558139536
